algorithm,size,min,max,avg
tim,10e3,0.009296417236328125,0.009296417236328125,0.009296417236328125
tim,10e3,0.00164794921875,0.00164794921875,0.00164794921875
tim,10e3,0.004519939422607422,0.004519939422607422,0.004519939422607422
tim,10e3,0.0016751289367675781,0.0016751289367675781,0.0016751289367675781
tim,10e3,0.0006682872772216797,0.0006682872772216797,0.0006682872772216797
tim,10e3,0.0017952919006347656,0.0017952919006347656,0.0017952919006347656
tim,10e3,0.001519918441772461,0.001519918441772461,0.001519918441772461
tim,10e3,0.00019168853759765625,0.00019168853759765625,0.00019168853759765625
