algorithm,size,min,max,avg
heap,10,7.009506225585938e-05,0.005529880523681641,0.0007032394409179687
insertion,10,9.894371032714844e-05,0.0001049041748046875,0.00010066032409667968
intro,10,9.489059448242188e-05,0.0023424625396728516,0.0003395557403564453
merge,10,7.486343383789062e-05,0.0001513957977294922,0.00010194778442382813
quick,10,0.00012826919555664062,0.00025916099548339844,0.000159454345703125
selection,10,0.00010442733764648438,0.0001087188720703125,0.00010657310485839844
tim,10,9.083747863769531e-05,0.010360956192016602,0.0018175125122070312
heap,25,0.0001125335693359375,0.003633737564086914,0.00048775672912597655
insertion,25,0.015426874160766602,0.015439510345458984,0.015432500839233398
intro,25,0.00014328956604003906,0.01305079460144043,0.001451730728149414
merge,25,8.440017700195312e-05,0.0001266002655029297,0.000109100341796875
quick,25,0.0154266357421875,0.01543879508972168,0.015434932708740235
selection,25,0.015434741973876953,0.015439510345458984,0.015436315536499023
tim,25,9.012222290039062e-05,0.00688624382019043,0.0007837533950805664
heap,50,0.00018644332885742188,0.009693145751953125,0.0011696338653564454
insertion,50,0.03066229820251465,0.22423148155212402,0.11421756744384766
intro,50,0.00021457672119140625,0.006806373596191406,0.0008972883224487305
merge,50,0.00015020370483398438,0.0002186298370361328,0.00016710758209228515
quick,50,0.010318756103515625,3.2346622943878174,0.7071390151977539
selection,50,0.07148981094360352,2.0581002235412598,0.6531781673431396
tim,50,0.00015282630920410156,0.004935026168823242,0.0006357908248901367
heap,75,0.0002815723419189453,0.0011525154113769531,0.00039222240447998045
insertion,75,0.030653715133666992,2.2578697204589844,0.5779563903808593
intro,75,0.00031280517578125,0.001986980438232422,0.0004964351654052734
merge,75,0.00017189979553222656,0.009365558624267578,0.0011290311813354492
quick,75,0.0459752082824707,0.5401167869567871,0.17843117713928222
selection,75,0.06122088432312012,3.082258462905884,0.6776816844940186
tim,75,0.0002129077911376953,0.003041505813598633,0.0009272575378417968
heap,100,0.0003478527069091797,0.0003859996795654297,0.0003579854965209961
insertion,100,0.0005354881286621094,0.0005757808685302734,0.0005621910095214844
intro,100,0.0003566741943359375,0.006561994552612305,0.0010047197341918946
merge,100,0.00023317337036132812,0.000278472900390625,0.0002455949783325195
quick,100,0.00025010108947753906,0.0002999305725097656,0.0002819538116455078
selection,100,0.0008652210235595703,0.0009710788726806641,0.0009217262268066406
tim,100,0.0002090930938720703,0.0002613067626953125,0.00023598670959472655
heap,250,0.0009059906005859375,0.0009305477142333984,0.000915074348449707
insertion,250,0.010344505310058594,0.015461444854736328,0.013402605056762695
intro,250,0.0008742809295654297,0.0009729862213134766,0.0009194135665893555
merge,250,0.0005099773406982422,0.0005786418914794922,0.0005337715148925782
quick,250,0.015452861785888672,0.015481948852539062,0.015467548370361328
selection,250,0.015462398529052734,0.015474796295166016,0.015466690063476562
tim,250,0.0004987716674804688,0.0005702972412109375,0.0005300521850585937
heap,500,0.0019097328186035156,0.0019545555114746094,0.001943492889404297
insertion,500,0.045931100845336914,2.5320236682891846,0.5635494232177735
intro,500,0.0019190311431884766,0.0031936168670654297,0.002079939842224121
merge,500,0.0010175704956054688,0.0011134147644042969,0.0010589361190795898
quick,500,0.025543689727783203,0.8456919193267822,0.31489200592041017
selection,500,0.0861058235168457,0.7288141250610352,0.2659623146057129
tim,500,0.0010852813720703125,0.0011410713195800781,0.0011028051376342773
heap,750,0.003011465072631836,0.003103017807006836,0.003066253662109375
insertion,750,0.05161309242248535,1.238936185836792,0.29131360054016114
intro,750,0.0030596256256103516,0.0031135082244873047,0.0030926227569580077
merge,750,0.001585245132446289,0.0016529560089111328,0.0016089677810668945
quick,750,0.08666253089904785,0.28534483909606934,0.15088977813720703
selection,750,0.08617115020751953,2.3242170810699463,0.9068944454193115
tim,750,0.0017018318176269531,0.0017676353454589844,0.0017305135726928711
heap,1000,0.004240751266479492,0.004324436187744141,0.004269194602966308
insertion,1000,0.0498051643371582,0.050163984298706055,0.05000128746032715
intro,1000,0.004201650619506836,0.004278659820556641,0.004254674911499024
merge,1000,0.0021238327026367188,0.0022001266479492188,0.0021645069122314454
quick,1000,0.0025091171264648438,0.002556324005126953,0.002532196044921875
selection,1000,0.08190774917602539,0.08385157585144043,0.08272371292114258
tim,1000,0.0023179054260253906,0.0023717880249023438,0.002344703674316406
heap,2500,0.012121915817260742,0.012251853942871094,0.012196493148803712
insertion,2500,0.6554689407348633,0.7054152488708496,0.6793622493743896
intro,2500,0.012032270431518555,0.012310266494750977,0.012215042114257812
merge,2500,0.00581049919128418,0.005930423736572266,0.005874085426330567
quick,2500,0.020492076873779297,0.020533084869384766,0.020520448684692383
selection,2500,1.0408656597137451,1.057464361190796,1.0511837005615234
tim,2500,0.00657343864440918,0.0066585540771484375,0.006593728065490722
heap,5000,0.02618122100830078,0.026762962341308594,0.026338911056518553
insertion,5000,3.1196656227111816,4.48895525932312,3.421338129043579
intro,5000,0.026225566864013672,0.02698802947998047,0.02642993927001953
merge,5000,0.012333154678344727,0.012624979019165039,0.012456536293029785
quick,5000,0.13259601593017578,1.0494718551635742,0.5727885246276856
selection,5000,4.389348983764648,11.071402549743652,7.876508903503418
tim,5000,0.013749361038208008,0.01387166976928711,0.013801050186157227
heap,7500,0.04146575927734375,0.04160737991333008,0.04155037403106689
insertion,7500,9.950215578079224,17.75584864616394,14.956718063354492
intro,7500,0.041600704193115234,0.041845083236694336,0.04168078899383545
merge,7500,0.019379854202270508,0.019499778747558594,0.01944587230682373
quick,7500,0.04600214958190918,0.9011900424957275,0.6286627292633057
selection,7500,12.111671686172485,25.940889835357666,18.310283374786376
tim,7500,0.021071672439575195,0.021912097930908203,0.02130310535430908
heap,10000,0.05746793746948242,0.05916190147399902,0.057837176322937014
insertion,10000,5.570756673812866,5.5946433544158936,5.580800724029541
intro,10000,0.05757617950439453,0.05929231643676758,0.05799210071563721
merge,10000,0.0267636775970459,0.026964187622070312,0.02683866024017334
quick,10000,0.03787946701049805,0.03887510299682617,0.03822393417358398
selection,10000,8.436805725097656,8.517385482788086,8.485918951034545
tim,10000,0.030234575271606445,0.030594587326049805,0.03038201332092285
heap,25000,0.1761023998260498,0.17753148078918457,0.17664523124694825
insertion,25000,100.00718522071838,101.10038614273071,100.47002143859864
intro,25000,0.17567920684814453,0.1770026683807373,0.176344633102417
merge,25000,0.07796812057495117,0.07953310012817383,0.07838990688323974
quick,25000,0.20765161514282227,0.2213127613067627,0.21457285881042482
selection,25000,55.4921669960022,137.03772282600403,96.67801594734192
tim,25000,0.10123324394226074,0.10305953025817871,0.10212175846099854
heap,50000,0.40939950942993164,0.4146907329559326,0.41165735721588137
insertion,50000,695.8784170150757,788.6256988048553,736.9218623638153
intro,50000,0.4093329906463623,0.41251564025878906,0.4108455181121826
merge,50000,0.1763782501220703,0.17794179916381836,0.17704617977142334
quick,50000,0.5430424213409424,2.9601504802703857,1.0894550323486327
tim,50000,0.23688864707946777,0.2381575107574463,0.23746016025543212
heap,75000,0.6643674373626709,0.6690564155578613,0.6661244392395019
intro,75000,0.6640677452087402,0.6675674915313721,0.6655338287353516
merge,75000,0.28316235542297363,0.2870943546295166,0.28457744121551515
quick,75000,0.9596199989318848,3.6669156551361084,2.054050397872925
tim,75000,0.38851475715637207,0.39185285568237305,0.38972694873809816
heap,100000,0.9354567527770996,0.9412660598754883,0.9375738143920899
intro,100000,0.9337348937988281,0.9411756992340088,0.9370655536651611
merge,100000,0.3978414535522461,0.40358495712280273,0.40071251392364504
quick,100000,0.6200120449066162,0.643190860748291,0.629550552368164
tim,100000,0.5270817279815674,0.531679630279541,0.5289897918701172
heap,250000,2.7241270542144775,2.7383458614349365,2.731775975227356
intro,250000,2.717899799346924,2.7376601696014404,2.7293643951416016
merge,250000,1.1430745124816895,1.159076452255249,1.1515107154846191
quick,250000,1.7442359924316406,1.7649352550506592,1.7489096641540527
tim,250000,1.4559805393218994,1.4639685153961182,1.4606372594833374
heap,500000,6.001268625259399,6.030007600784302,6.0163630723953245
intro,500000,6.008082866668701,6.027575969696045,6.0155216455459595
merge,500000,2.5107603073120117,2.5377228260040283,2.5251625061035154
quick,500000,8.793434619903564,18.131779432296753,14.59073085784912
tim,500000,3.1719934940338135,3.1807191371917725,3.1765037059783934
heap,750000,9.551726341247559,9.610603094100952,9.57841236591339
intro,750000,9.541826963424683,9.606258392333984,9.56935887336731
